idPromotion,Nom,Reduction,DateDebut,DateFin
2,Cocuyo,49,27/03/2016,05/04/2016
3,Spurred Gentian,26,17/01/2019,28/01/2019
4,Columbian Bryoerythrophyllum Moss,5,28/12/2019,07/01/2020
5,Western Sweetvetch,38,30/11/2010,07/12/2010
6,Puerto Rico Helmet Orchid,19,11/02/2015,19/02/2015
7,Protothelenella Lichen,36,27/03/2015,08/04/2015
8,Densetuft Hairsedge,2,31/03/2019,13/04/2019
9,Thorn Wattle,22,09/05/2015,23/05/2015
10,Beard Lichen,11,12/06/2020,20/06/2020
11,Rasp-leaf Pelargonium,41,02/08/2014,09/08/2014
12,Broomwort,46,25/06/2019,06/07/2019
13,Chalice Lichen,22,07/02/2010,15/02/2010
14,Dwarf Stickpea,6,07/02/2014,19/02/2014
15,Longbeak Streptanthella,6,22/08/2013,01/09/2013
16,Black Disc Lichen,5,08/05/2012,22/05/2012
17,Vezdaea Lichen,23,26/12/2015,05/01/2016
18,Rhytidium Moss,23,03/04/2015,16/04/2015
19,Mountain Pepperweed,4,30/07/2015,08/08/2015
20,Spike Lichen,21,17/07/2013,25/07/2013
21,San Francisco Spineflower,20,03/10/2015,13/10/2015
22,Whipplea,24,13/05/2019,26/05/2019
23,White-and-yellow-flower Cornlily,16,31/07/2014,13/08/2014
24,Sentry Milkvetch,41,07/08/2018,19/08/2018
25,Sonoran Dodder,30,25/11/2020,09/12/2020
26,Alpine Shootingstar,1,02/09/2018,11/09/2018
27,Lavender Woollystar,20,26/05/2017,06/06/2017
28,California Mountainpincushion,46,03/04/2012,14/04/2012
29,Yellowwood,6,24/02/2011,06/03/2011
30,California Bog Asphodel,6,13/06/2016,26/06/2016
31,Hybrid Locust,14,10/03/2012,22/03/2012
32,Eldorado Larkspur,17,06/10/2014,16/10/2014
33,Bristleleaf Sedge,8,01/08/2017,14/08/2017
34,Parchment Bristle Fern,33,26/12/2010,02/01/2011
35,Thurber's Buckwheat,31,12/05/2011,19/05/2011
36,Orange Lichen,47,14/11/2010,27/11/2010
37,Cneoridium,7,14/09/2012,26/09/2012
38,Spiked Hoarypea,1,21/03/2020,30/03/2020
39,Turban Prickly Pear,22,13/11/2011,23/11/2011
40,Velvet Tree,46,22/07/2014,04/08/2014
41,Starry Rosinweed,24,29/02/2012,11/03/2012
42,False Hellebore,37,06/02/2013,18/02/2013
43,Adobe Navarretia,4,31/03/2013,07/04/2013
44,Pacific Yerba Santa,35,07/05/2012,20/05/2012
45,Sweet Scented Geranium,13,22/05/2010,05/06/2010
46,Talayote,20,07/01/2015,20/01/2015
47,Snow Arnica,4,22/09/2018,04/10/2018
48,Tree Aenium,37,01/07/2012,11/07/2012
49,Japanese Ulota Moss,45,24/09/2010,05/10/2010
50,Hartweg's Alumroot,34,08/03/2019,20/03/2019
51,Torrey's Jointfir,32,30/07/2012,10/08/2012
52,Scotch False Asphodel,15,30/08/2019,07/09/2019
53,Cuban Prescott Orchid,10,08/04/2020,21/04/2020
54,Tropical Fimbry,47,04/04/2018,15/04/2018
55,Livid Sedge,39,11/02/2012,25/02/2012
